00:00:00.000134 main     VirtualBox XPCOM Server 7.2.6 r172322 linux.amd64 (Jan 28 2026 17:11:43) release log
00:00:00.000136 main     Log opened 2026-02-21T08:43:38.751597000Z
00:00:00.000136 main     Build Type: release
00:00:00.000138 main     OS Product: Linux
00:00:00.000138 main     OS Release: 6.19.3-2-cachyos
00:00:00.000139 main     OS Version: #1 SMP PREEMPT_DYNAMIC Fri, 20 Feb 2026 01:02:58 +0000
00:00:00.000153 main     DMI Product Name: System Product Name
00:00:00.000158 main     DMI Product Version: System Version
00:00:00.000161 main     Firmware type: UEFI
00:00:00.000357 main     Secure Boot: Disabled
00:00:00.000385 main     Host RAM: 31805MB (31.0GB) total, 28549MB (27.8GB) available
00:00:00.000387 main     Executable: /usr/lib/virtualbox/VBoxSVC
00:00:00.000387 main     Process ID: 45503
00:00:00.000388 main     Package type: LINUX_64BITS_GENERIC (OSE)
00:00:00.007518 main     IPC socket path: /tmp/.vbox-seas-ipc/ipcd
00:00:00.013746 DCon01   VirtualBox: object creation starts
00:00:00.013859 DCon01   Home directory: '/home/seas/.config/VirtualBox'
00:00:00.014042 DCon01   Loading settings file "/home/seas/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:00.015242 DCon01   HostDnsMonitor: initializing
00:00:00.015476 DCon01   NAT: resolv.conf: nameserver 127.0.0.53
00:00:00.015484 DCon01   NAT: resolv.conf: ignoring "options edns0 trust-ad"
00:00:00.015502 DCon01   HostDnsMonitor: updating information
00:00:00.015512 DCon01   HostDnsMonitor: old information
00:00:00.015515 DCon01     no server entries
00:00:00.015517 DCon01     no domain set
00:00:00.015519 DCon01     no search string entries
00:00:00.015522 DCon01   HostDnsMonitor: new information
00:00:00.015524 DCon01     server 1: 127.0.0.53
00:00:00.015527 DCon01     no domain set
00:00:00.015529 DCon01     no search string entries
00:00:00.017743 DCon01   VD: VDInit finished with VINF_SUCCESS
00:00:00.017873 DCon01   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={925084b0-625f-422f-a67d-0ede1880a56c} aComponent={SystemPropertiesWrap} aText={Cannot determine default Guest Additions ISO location. Most likely they are not available}, preserve=false aResultDetail=0
00:00:00.018815 DCon01   Platform architecture set to 'x86'
00:00:00.019145 DCon01   Loading settings file "/home/seas/VirtualBox VMs/debian/debian.vbox" with version "1.19-linux"
00:00:00.019345 DCon01   Platform architecture set to 'x86'
00:00:00.019964 DCon01   VirtualBox: object created
00:00:00.245923 DCon01   Saving settings file "/home/seas/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:00.254068 DCon01   Finished saving settings file "/home/seas/.config/VirtualBox/VirtualBox.xml"
00:00:00.533783 DCon03   Saving settings file "/home/seas/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:00.538145 DCon03   Finished saving settings file "/home/seas/.config/VirtualBox/VirtualBox.xml"
00:00:00.554630 DCon03   WARNING [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={d5dcece0-b202-4416-a138-03502784cc07} aComponent={HostWrap} aText={Could not load the Host USB Proxy service: VERR_NOT_FOUND}, preserve=true aResultDetail=0
00:00:00.555162 DCon03   WARNING [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={d5dcece0-b202-4416-a138-03502784cc07} aComponent={HostWrap} aText={Could not load the Host USB Proxy service: VERR_NOT_FOUND}, preserve=false aResultDetail=0
00:00:00.563839 DCon03   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:00:00.655623 DCon03   WARNING [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={d5dcece0-b202-4416-a138-03502784cc07} aComponent={HostWrap} aText={Could not load the Host USB Proxy service: VERR_NOT_FOUND}, preserve=true aResultDetail=0
00:00:00.656199 DCon03   WARNING [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={d5dcece0-b202-4416-a138-03502784cc07} aComponent={HostWrap} aText={Could not load the Host USB Proxy service: VERR_NOT_FOUND}, preserve=true aResultDetail=0
00:00:00.920113 DCon03   Saving settings file "/home/seas/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:00.925846 DCon03   Finished saving settings file "/home/seas/.config/VirtualBox/VirtualBox.xml"
00:00:04.456870 DCon02   Launched VM: 184181120 pid: 45566 (0xb1fe) frontend: GUI/Qt name: debian
00:00:04.509633 DCon04   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:00:04.550048 DCon06   WARNING [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={d5dcece0-b202-4416-a138-03502784cc07} aComponent={HostWrap} aText={Could not load the Host USB Proxy service: VERR_NOT_FOUND}, preserve=true aResultDetail=0
